origin,destination,origin_lat,origin_long,dest_lat,dest_long,dist_km,dist_mi
NYM,NYY,40.75694444,-73.84583333,40.82916667,-73.92638889,10.510953988635482,6.53260036583933
CHC,CHW,41.94833333,-87.65555556,41.83,-87.63388889,13.279736434551134,8.253409841237499
OAK,SFG,37.75166667,-122.2005556,37.77833333,-122.3894444,16.86655106515094,10.482629624083867
LAA,LAD,33.80027778,-117.8827778,34.07361111,-118.24,44.83044803800999,27.862304560602855
BAL,WAS,39.28388889,-76.62166667,38.87277778,-77.0075,56.558907572228634,35.15158954147211
CHC,MIL,41.94833333,-87.65555556,43.02833333,-87.97111111,122.84606095427947,76.34932315368519
CHW,MIL,41.83,-87.63388889,43.02833333,-87.97111111,136.09231717683875,84.58192490791718
LAA,SDP,33.80027778,-117.8827778,32.70729983,-117.1565998,139.03128328171272,86.40850421486185
BAL,PHI,39.28388889,-76.62166667,39.90583333,-75.16638889,142.58442791775602,88.6167979600721
NYM,PHI,40.75694444,-73.84583333,39.90583333,-75.16638889,146.57974244489438,91.09990207886537
CLE,DET,41.49583333,-81.68527778,42.33916667,-83.04861111,146.68749533912236,91.16687093792565
NYY,PHI,40.82916667,-73.92638889,39.90583333,-75.16638889,146.88871610870638,91.291930459109
LAD,SDP,34.07361111,-118.24,32.70729983,-117.1565998,182.20242532008177,113.23954339346288
CLE,PIT,41.49583333,-81.68527778,40.44694444,-80.00583333,182.9791695097132,113.72229304519153
PHI,WAS,39.90583333,-75.16638889,38.87277778,-77.0075,195.5144107958806,121.51299614411472
BAL,NYY,39.28388889,-76.62166667,40.82916667,-73.92638889,286.58732536374555,178.11518046224086
BAL,NYM,39.28388889,-76.62166667,40.75694444,-73.84583333,287.55606215679654,178.71725429260195
BOS,NYM,42.34638889,-71.0975,40.75694444,-73.84583333,289.004855147191,179.61768498893164
BOS,NYY,42.34638889,-71.0975,40.82916667,-73.92638889,289.4798107738708,179.9128718296276
CLE,TOR,41.49583333,-81.68527778,43.64138889,-79.38916667,303.73876164704336,188.77486740027555
PIT,WAS,40.44694444,-80.00583333,38.87277778,-77.0075,310.64073001714115,193.0644686246993
BAL,PIT,39.28388889,-76.62166667,40.44694444,-80.00583333,316.43328087848187,196.664562385632
MIA,TBR,25.77805556,-80.21972222,27.76833333,-82.65333333,327.61837233699674,203.61614191236592
DET,PIT,42.33916667,-83.04861111,40.44694444,-80.00583333,329.6503388340926,204.87901729900102
DET,TOR,42.33916667,-83.04861111,43.64138889,-79.38916667,330.95473671485837,205.6897058513725
NYY,WAS,40.82916667,-73.92638889,38.87277778,-77.0075,341.2868267971492,212.1111415768485
NYM,WAS,40.75694444,-73.84583333,38.87277778,-77.0075,341.7430126833094,212.39466294798598
CIN,CLE,39.0975,-84.50666667,41.49583333,-81.68527778,358.24975225374527,222.65366827454648
PIT,TOR,40.44694444,-80.00583333,43.64138889,-79.38916667,358.8343115645599,223.0169742477066
HOU,TEX,29.75694444,-95.35555556,32.75138889,-97.08277778,371.2284001473259,230.71995037124046
